timestamp,sn,text,EST
2018-03-21 23:39:27,ValComm,"RT @LaScossa: ""In Ita 8789 #startup innovative, lo 0,51% delle 1,6 mln società di capitali, con capitale sottoscritto 423 mln €, ricavi fin…",2018-03-21 23:39:27
2018-03-21 23:39:27,EXOLs8,"RT @xunhuas: Hyundai X SM Ent. Collab - SOLATI Moving Hotel

A fashion pictorial featuring Jongin &amp; Lee Yeon Hee will be released by end of…",2018-03-21 23:39:27
2018-03-21 23:39:26,iwanttolearn,"RT @chrisinsilico: Accepting invitation to testify before US House Intelligence Committee, US House Judiciary Committee &amp; UK Parliament Dig…",2018-03-21 23:39:26
2018-03-21 23:39:26,UrsulaRooth,"RT @phumzileunwomen: Reforms in laws are necessary for all family households 🏠, so that daughters and sons have = rights. https://t.co/8QAO…",2018-03-21 23:39:26
2018-03-21 23:39:25,JoanneSPorter,"RT @ucu: ""The proposals would destroy the OU as we know it, turning it from a world-leading distance education university into a digital co…",2018-03-21 23:39:25
